# expressionID, sessionQuesID, expTimestamp, gender, glasses, age, ethnicity, joy, sadness, disgust, contempt, anger, fear, surprise, valence, engagement, smile, innerBrowRaise, browRaise, browFurrow, noseWrinkle, upperLipRaise, lipCornerDepressor, chinRaise, lipPucker, lipPress, lipSuck, mouthOpen, smirk, eyeClosure, attention, lidTighten, jawDrop, dimpler, eyeWiden, cheekRaise, lipStretch
83, 1, 1511889345371, Female, No, 18 - 24, East Asian, 100, 0, 1, 0, 0, 0, 8, 67, 100, 100, 0, 0, 0, 26, 0, 0, 0, 0, 60, 0, 100, 0, 0, 99, 9, 69, 0, 0, 100, 54
84, 1, 1511889345569, Female, No, 18 - 24, East Asian, 100, 0, 1, 0, 0, 0, 5, 63, 100, 100, 0, 0, 1, 23, 0, 0, 0, 0, 76, 0, 100, 0, 0, 99, 8, 37, 0, 0, 100, 71
85, 1, 1511889345704, Female, No, 18 - 24, East Asian, 100, 0, 0, 0, 0, 0, 3, 72, 100, 100, 0, 0, 2, 14, 0, 0, 0, 0, 62, 0, 100, 0, 0, 98, 7, 17, 0, 0, 96, 76
86, 1, 1511889345835, Female, No, 18 - 24, East Asian, 100, 0, 0, 0, 0, 0, 2, 73, 100, 100, 0, 0, 2, 13, 0, 0, 0, 0, 62, 0, 100, 0, 0, 98, 3, 3, 0, 0, 66, 74
87, 1, 1511889345935, Female, No, 18 - 24, East Asian, 100, 0, 0, 0, 0, 0, 2, 77, 100, 100, 0, 0, 1, 16, 0, 0, 0, 0, 44, 0, 100, 0, 0, 98, 2, 3, 0, 0, 84, 75
88, 1, 1511889346070, Female, No, 18 - 24, East Asian, 100, 0, 1, 0, 0, 0, 2, 70, 100, 100, 0, 0, 1, 27, 0, 0, 0, 0, 48, 0, 100, 0, 0, 98, 4, 3, 0, 0, 94, 73
89, 1, 1511889346280, Female, No, 18 - 24, East Asian, 100, 0, 1, 0, 0, 0, 2, 64, 100, 100, 0, 0, 0, 36, 0, 0, 0, 0, 51, 0, 100, 0, 0, 98, 4, 5, 0, 0, 96, 58
90, 1, 1511889346438, Female, No, 18 - 24, East Asian, 100, 0, 1, 0, 0, 0, 3, 73, 100, 100, 0, 0, 0, 42, 0, 0, 0, 0, 12, 2, 100, 0, 0, 98, 2, 17, 0, 0, 98, 20
91, 1, 1511889346585, Female, No, 18 - 24, East Asian, 100, 0, 0, 0, 0, 0, 4, 88, 100, 100, 0, 0, 0, 23, 0, 0, 0, 0, 1, 0, 100, 0, 0, 97, 1, 22, 0, 0, 95, 8
92, 1, 1511889346801, Female, No, 18 - 24, East Asian, 100, 0, 0, 0, 0, 0, 4, 94, 100, 100, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 100, 0, 0, 97, 1, 27, 0, 0, 62, 4
93, 1, 1511889346950, Female, No, 18 - 24, East Asian, 100, 0, 0, 0, 0, 0, 4, 96, 100, 100, 0, 0, 1, 2, 0, 0, 0, 0, 8, 0, 100, 0, 0, 98, 1, 27, 0, 0, 47, 2
94, 1, 1511889347147, Female, No, 18 - 24, East Asian, 100, 0, 0, 0, 0, 0, 4, 91, 100, 100, 0, 0, 0, 3, 0, 0, 0, 0, 21, 1, 100, 0, 0, 97, 1, 29, 0, 1, 22, 0
95, 1, 1511889347278, Female, No, 18 - 24, East Asian, 100, 0, 0, 0, 0, 0, 4, 87, 100, 100, 0, 0, 0, 6, 0, 0, 0, 0, 25, 6, 100, 0, 0, 98, 0, 28, 0, 0, 36, 0
96, 1, 1511889347438, Female, No, 18 - 24, East Asian, 100, 0, 0, 0, 0, 0, 4, 88, 100, 100, 0, 0, 0, 13, 0, 0, 0, 0, 11, 4, 100, 0, 0, 98, 0, 26, 0, 0, 21, 0
97, 1, 1511889347532, Female, No, 18 - 24, East Asian, 100, 0, 0, 0, 0, 0, 4, 89, 100, 100, 0, 0, 0, 15, 0, 0, 0, 0, 8, 2, 100, 0, 0, 98, 0, 31, 0, 0, 27, 0
