# gazeID, sessionQuesID, gazeTimestamp, x, y, confidence
660, 7, 1511889738539, 346.253, 402.05, 0.890482
661, 7, 1511889738721, 374.502, 443.762, 0.512263
662, 7, 1511889738850, 391.475, 538.091, 0.22078
663, 7, 1511889738990, 388.148, 572.273, 0.333258
664, 7, 1511889739149, 345.223, 590.516, 0.389206
665, 7, 1511889739355, 321.81, 592.75, 0.349643
666, 7, 1511889739590, 311.54, 594.569, 0.341898
667, 7, 1511889739794, 357.598, 591.798, 0.486236
668, 7, 1511889739955, 258.631, 531.184, 0.549155
669, 7, 1511889740113, 321.111, 539.041, 0.669749
670, 7, 1511889740223, 319.23, 497.282, 0.352222
671, 7, 1511889740321, 327.864, 494.013, 0.455735
672, 7, 1511889740417, 327.462, 504.264, 0.404412
673, 7, 1511889740492, 366.04, 511.996, 0.394865
674, 7, 1511889740590, 357.816, 504.094, 0.317015
675, 7, 1511889740717, 308.42, 504.729, 0.373677
676, 7, 1511889740808, 330.425, 534.591, 0.417247
677, 7, 1511889740954, 331.765, 558.359, 0.347919
678, 7, 1511889741050, 343.056, 560.886, 0.351093
679, 7, 1511889741105, 330.632, 562.314, 0.318314
680, 7, 1511889741148, 415.311, 567.994, 0.58993
681, 7, 1511889741255, 596.885, 576.419, 1.2178
682, 7, 1511889741321, 530.354, 574.822, 0.52502
683, 7, 1511889741415, 491.628, 570.451, 0.816422
684, 7, 1511889741459, 448.938, 566.747, 0.541598
685, 7, 1511889741555, 460.022, 564.874, 0.500384
686, 7, 1511889741641, 481.063, 567.395, 0.42593
687, 7, 1511889741758, 425.789, 561.069, 0.412982
688, 7, 1511889741791, 449.613, 561.567, 0.414897
689, 7, 1511889741910, 450.717, 558.558, 0.539921
690, 7, 1511889741954, 423.858, 552.195, 0.482368
691, 7, 1511889742058, 358.628, 549.806, 0.476547
692, 7, 1511889742114, 358.654, 556.23, 0.69366
693, 7, 1511889742145, 347.255, 553.981, 0.503261
694, 7, 1511889742241, 351.481, 555.317, 0.580491
695, 8, 1511889742348, 333.801, 548.756, 0.500891
696, 8, 1511889742392, 341.298, 542.739, 0.468583
697, 8, 1511889742522, 378.461, 550.949, 0.691293
698, 8, 1511889742606, 359.155, 535.015, 0.421892
699, 8, 1511889742690, 321.635, 520.509, 0.414764
700, 8, 1511889742851, 281.349, 568.324, 0.734846
701, 8, 1511889742958, 284.42, 573.946, 0.680922
702, 8, 1511889743041, 278.949, 549.636, 0.482694
703, 8, 1511889743094, 265.567, 554.29, 0.567575
704, 8, 1511889743345, 272.4, 555.22, 0.622302
705, 8, 1511889743451, 254.16, 544.5, 0.543076
706, 8, 1511889743558, 227.231, 543.289, 0.546019
707, 8, 1511889743648, 241.271, 558.08, 0.630187
708, 8, 1511889743719, 239.414, 558.021, 0.579247
709, 8, 1511889743845, 233.225, 547.008, 0.569745
710, 8, 1511889743889, 223.419, 549.037, 0.582572
711, 8, 1511889743962, 236.61, 552.579, 0.626996
712, 8, 1511889744050, 247.054, 559.069, 0.601012
713, 8, 1511889744113, 243.375, 571.115, 0.667203
714, 8, 1511889744190, 237.236, 576.279, 0.584558
715, 8, 1511889744252, 245.701, 577.908, 0.653722
716, 8, 1511889744359, 272.428, 571.001, 0.453166
717, 8, 1511889744445, 295.694, 560.602, 0.385349
718, 8, 1511889744489, 301.407, 560.06, 0.409032
719, 8, 1511889744551, 305.306, 556.042, 0.380291
720, 8, 1511889744690, 317.519, 563.686, 0.313778
721, 8, 1511889744790, 302.928, 561.681, 0.341197
722, 8, 1511889744841, 290.634, 552.549, 0.408294
723, 8, 1511889744949, 271.757, 541.192, 0.506054
724, 8, 1511889744993, 270.189, 539.216, 0.570353
725, 8, 1511889745090, 269.187, 532.336, 0.423145
726, 8, 1511889745165, 273.38, 540.538, 0.551507
727, 8, 1511889745189, 280.361, 544.309, 0.530581
728, 8, 1511889745252, 279.778, 546.193, 0.568189
729, 8, 1511889745362, 296.984, 546.953, 0.575976
730, 8, 1511889745446, 283.355, 540.852, 0.48888
731, 8, 1511889745499, 282.506, 538.776, 0.553482
732, 8, 1511889745542, 282.539, 534.031, 0.531944
733, 8, 1511889745660, 308.223, 537.334, 0.584924
734, 8, 1511889745756, 285.363, 517.677, 0.387197
735, 8, 1511889745796, 288.714, 519.56, 0.457057
736, 8, 1511889745895, 279.471, 528.591, 0.544369
737, 8, 1511889745991, 287.856, 540.879, 0.597656
738, 8, 1511889746058, 268.856, 540.1, 0.541335
739, 8, 1511889746146, 255.486, 548.586, 0.527618
740, 8, 1511889746194, 266.184, 554.873, 0.58015
741, 8, 1511889746258, 257.274, 553.415, 0.515064
742, 8, 1511889746354, 257.092, 554.942, 0.562137
743, 8, 1511889746429, 258.914, 552.452, 0.53395
744, 8, 1511889746494, 247.31, 549.566, 0.518486
745, 8, 1511889746590, 249.734, 545.392, 0.530639
746, 8, 1511889746645, 240.539, 542.971, 0.488395
747, 8, 1511889746758, 232.333, 531.017, 0.477158
748, 8, 1511889746854, 249.581, 532.437, 0.544701
749, 8, 1511889746895, 260.204, 541.8, 0.631997
750, 8, 1511889746993, 266.042, 546.485, 0.625535
751, 8, 1511889747118, 290.207, 556.58, 0.565536
752, 8, 1511889747191, 287.547, 554.302, 0.486111
753, 8, 1511889747291, 280.277, 564.484, 0.595298
754, 8, 1511889747351, 256.543, 550.878, 0.536258
755, 8, 1511889747394, 264.06, 558.011, 0.610892
756, 8, 1511889747461, 264.744, 569.443, 0.629749
757, 8, 1511889747567, 283.135, 576.579, 0.681266
758, 8, 1511889747693, 333.891, 583.086, 0.228825
759, 8, 1511889747760, 319.727, 584.015, 0.272852
760, 8, 1511889747791, 313.083, 583.928, 0.286391
761, 8, 1511889747890, 297.517, 587.526, 0.301735
762, 8, 1511889747992, 301.049, 588.074, 0.338172
763, 8, 1511889748098, 357.578, 601.691, 0.173557
764, 8, 1511889748266, 358.327, 603.061, 0.159935
765, 8, 1511889748393, 369.668, 604.51, 0.171294
766, 8, 1511889748492, 390.278, 606.786, 0.154742
767, 8, 1511889748555, 399.122, 608.595, 0.13697
768, 8, 1511889748598, 394.45, 611.04, 0.178634
769, 8, 1511889748694, 385.343, 570.829, 0.290666
770, 8, 1511889748793, 382.388, 569.84, 0.318713
771, 8, 1511889748858, 359.166, 545.714, 0.36798
772, 8, 1511889748964, 377.34, 536.035, 0.258091
773, 8, 1511889749060, 394.831, 522.225, 0.218639
774, 8, 1511889749157, 417.203, 508.584, 0.137568
775, 8, 1511889749252, 386.463, 478.009, 0.341861
776, 8, 1511889749295, 348.174, 464.99, 0.608909
777, 8, 1511889749393, 341.249, 482.005, 0.393487
778, 8, 1511889749499, 327.181, 437.43, 0.527507
779, 8, 1511889749563, 334.325, 440.389, 0.395134
780, 8, 1511889749596, 355.376, 442.122, 0.20871
781, 8, 1511889749693, 369.108, 447.978, 0.311781
782, 8, 1511889749792, 373.288, 420.305, 0.35535
783, 8, 1511889749898, 337.121, 465.798, 0.476256
784, 8, 1511889749963, 357.544, 496.025, 0.285133
785, 8, 1511889750102, 387.989, 508.909, 0.236121
786, 8, 1511889750199, 404.981, 516.674, 0.240279
787, 8, 1511889750393, 359.688, 471.123, 0.387787
788, 8, 1511889750467, 378.342, 496.446, 0.242505
789, 8, 1511889750565, 392.639, 521.093, 0.246004
790, 8, 1511889750596, 404.812, 524.62, 0.256838
791, 8, 1511889750693, 415.276, 514.771, 0.209005
792, 8, 1511889750799, 370.713, 503.202, 0.36438
793, 8, 1511889750903, 379.831, 511.234, 0.258833
794, 8, 1511889751000, 359.503, 527.545, 0.345382
795, 8, 1511889751099, 361.686, 521.29, 0.279094
796, 8, 1511889751198, 354.661, 512.27, 0.329605
797, 9, 1511889751361, 385.439, 513.106, 0.225971
798, 9, 1511889751466, 383.116, 508.895, 0.256286
799, 9, 1511889751562, 347.306, 493.826, 0.407272
800, 9, 1511889751668, 320.638, 472.371, 0.503198
801, 9, 1511889751795, 349.912, 502.572, 0.287581
802, 9, 1511889751905, 384.433, 533.639, 0.255973
803, 9, 1511889752003, 367.387, 535.263, 0.321093
804, 9, 1511889752068, 356.001, 541.877, 0.302192
805, 9, 1511889752195, 369.184, 561.425, 0.2703
806, 9, 1511889752261, 396.004, 591.996, 0.468224
807, 9, 1511889752294, 389.441, 598.278, 0.344352
808, 9, 1511889752398, 407.363, 616.641, 0.447162
809, 9, 1511889752463, 409.587, 622.866, 0.438832
810, 9, 1511889752505, 399.826, 628.907, 0.405161
811, 9, 1511889752600, 391.77, 614.237, 0.255797
812, 9, 1511889752706, 384.619, 607.896, 0.388346
813, 9, 1511889752793, 390.937, 571.519, 0.257132
814, 9, 1511889752864, 374.443, 551.709, 0.306614
815, 9, 1511889752898, 382.51, 532.605, 0.217359
816, 9, 1511889753004, 364.142, 505.647, 0.343554
817, 9, 1511889753067, 360.46, 499.67, 0.319293
818, 9, 1511889753195, 373.437, 536.653, 0.249696
819, 9, 1511889753267, 380.209, 555.586, 0.247731
820, 9, 1511889753300, 391.227, 579.595, 0.367534
821, 9, 1511889753396, 405.998, 581.282, 0.263961
822, 9, 1511889753503, 414.203, 562.751, 0.240216
823, 9, 1511889753599, 391.766, 569.399, 0.292778
